SITECODE,DRNAREA_mi2
ALSE8667_B,0.0212
ALSE8667_B,0.0212
ALSE8667_B,0.0212
ALSE8673_B,0.29
ALSE8673_B,0.29
ALSE8673_B,0.29
ALSE8674_B,0.04
ALSE8674_B,0.04
ALSE8674_B,0.04
ALSE8675_B,0.02
ALSE8675_B,0.02
ALSE8675_B,0.02
ALSE8676_B,0.104
ALSE8676_B,0.104
ALSE8676_B,0.104
ALSE8939_B,0.063
ALSE8939_B,0.063
ALSE8939_B,0.063
ALSE8940_B,0.01
ALSE8940_B,0.01
ALSE8940_B,0.01
ALSE9185_B,0.054
ALSE9185_B,0.054
ALSE9185_B,0.054
ALSE9186_B,0.081
ALSE9186_B,0.081
ALSE9186_B,0.081
ALSE9443_BO,0.046
ALSE9443_BO,0.046
ALSE9443_BO,0.046
ALSE9533_B,0.0252
ALSE9533_B,0.0252
ALSE9533_B,0.0252
ALSE9534_B,0.0492
ALSE9534_B,0.0492
ALSE9534_B,0.0492
ALSE9592_V,0.0402
ALSE9594_V,0.25
ALSE9594_V,0.25
ALSE9594_V,0.25
ALSE9594_V,0.25
ALSE9595_V,0.16
ALSE9596_V,147
ARNE117_V,0.71
ARNE117_V,0.71
ARNE117_V,0.71
ARNE117_V,0.71
ARNE125_V,11.9
ARNE163_B,57.5
ARNE163_B,57.5
ARNE163_B,57.5
ARNE163_B,57.5
ARNE171_B,65.2
ARNE171_B,65.2
ARNE171_B,65.2
ARNE171_B,65.2
ARNE230_V,19.8
ARNE230_V,19.8
ARNE230_V,19.8
ARNE230_V,19.8
ARNE8840_V,0.28
ARNE8840_V,0.28
ARNE8840_V,0.28
ARNE8840_V,0.28
ARNE8845_V,0.36
ARNE8845_V,0.36
ARNE8845_V,0.36
ARNE8845_V,0.36
ARNE8884_B,1.33
ARNE8884_B,1.33
ARNE8884_B,1.33
ARNE8884_B,1.33
ARSE5406_B,5.43
ARSE5406_B,5.43
ARSE5406_B,5.43
ARSE5406_B,5.43
ARSE8019_B,0.04
ARSE8019_B,0.04
ARSE8019_B,0.04
ARSE8019_B,0.04
ARSE9485_B,0.01
ARSE9485_B,0.01
ARSE9485_B,0.01
ARSE9485_B,0.01
ARSE9486_B,0.01
ARSE9486_B,0.01
ARSE9486_B,0.01
ARSE9486_B,0.01
AZAW0006,0.15
AZAW0006,0.15
AZAW0007,80.22
AZAW0008,7
AZAW0022,271.75
AZAW0032,1.64
AZAW0033,16.03
AZAW0035,0.03
AZAW0035,0.03
AZAW0041,7.62
AZAW0042,0.28
AZAW0044,46.02
AZAW0046,10.15
AZAW0050,68.38
AZAW0050,68.38
AZAW0051,708.86
AZAW0053,2.49
AZAW0055,796.41
AZAW0065,880.94
AZAW0066,29.45
AZAW0081,0.05
AZAW0082,255.19
AZAW0084,35.23
AZAW0085,909.93
AZAW0086,1.92
AZAW0090,44.68
AZAW0099,15.36
AZAW0103,1216.17
AZAW0105,1061.78
AZWM0113,5.97
AZWM0114,22.14
AZWM0114,22.14
AZWM0114,22.14
AZWM0114,22.14
AZWM0115,0.05
AZWM0116,0.08
AZWM0118,0.05
AZWM0119,4.78
AZWM0119,4.78
AZWM0120,67.94
AZWM0121,83.29
AZWM0121,83.29
AZWM0121,83.29
AZWM0121,83.29
AZWM0122,0.55
AZWM0123,0.17
AZWM0123,0.17
AZWM0123,0.17
AZWM0123,0.17
AZWM0124,21.69
AZWM0124,21.69
AZWM0124,21.69
AZWM1588,10.09
AZWM1590,39.6
AZWM1591,29.1
AZWM1842,0.19
AZWM1843,2.28
AZWM1848,5.52
AZWM1853,22.07
AZWM1854,9.74
AZWM1855,0.7
AZWM1867,6.2
CAAW0242,5.91
CAAW0242,5.91
CAAW0244,18.4
CAAW0244,18.4
CAAW0249,213.7
CAAW0281,61.9
CAAW0332,14.1
CAAW0354,36.6
CAAW0377,56.7
CAAW0381,128.4
CAAW0387,5.5
CAAW0392,7.3
CAAW0392,7.3
CAAW0394,1.7
CAAW0396,0.3
CAAW0410,109.6
CAAW0412,53.7
CAAW0414,221.1
CAAW0419,13.2
CAAW0426,5.4
CAWM0477,2.8
CAWM0477,2.8
CAWM0477,2.8
CAWM0477,2.8
CAWM0478,0.02
CAWM0478,0.02
CAWM0478,0.02
CAWM0478,0.02
CAWM0485,406.1
CAWM0495,180.2
CAWM0507,22.4
CAWM0519,221.4
CAWM0519,221.4
CAWM0522,0.7
CAWM0522,0.7
CAWM0522,0.7
CAWM0522,0.7
CAWM0523,0.8
CAWM0523,0.8
CAWM0523,0.8
CAWM0523,0.8
CAWM0525,34.9
CAWM0525,34.9
CAWM0525,34.9
CAWM0525,34.9
CAWM0528,0.1
CAWM0528,0.1
CAWM0549,17.7
CAWM0549,17.7
CAWM0549,17.7
CAWM0549,17.7
CAWM0566,11.8
CAWM0588,0.7
CAWM0588,0.7
CAWM0588,0.7
CAWM0592,1.1
CAWM0595,9.6
CAWM0598,0.01
CAWM0609,53.9
CAWM0610,36.7
CAWM0621,590.2
CAWM0652,20.8
CAWM0652,20.8
CAWM0657,5
CAWM0657,5
CAWM0657,5
CAWM0672,18.7
CAWM0684,16.1
CAWM0684,16.1
CAWM0684,16.1
CAWM0684,16.1
CAWM0697,50.3
CAWM0718,4.5
CAWM0718,4.5
CAWM0718,4.5
CAWM0718,4.5
CAWM0720,107.3
CAWM0724,386.6
CAWM0724,386.6
CAWM0724,386.6
CAWM0724,386.6
CAWM0736,4
CAWM0736,4
CAWM0736,4
CAWM1822,0.04
CAWM1831,2.7
CAWM1871,2.1
CAWM1882,5.4
CAWM1891,0.5
CAWM1892,0.2
CAWM1894,4.4
CAWM1895,1.7
CAWM1898,0.1
CAWM1899,0.2
CAWM1900,0.1
CAWM1902,0.6
COAW0746,2.77
COAW0751,95.9
COAW0765,1.99
COAW0767,168
COAW0775,19.2
COAW0777,0.6
COAW0781,0.12
COAW0782,18.4
COAW0785,2030
COAW0792,16.3
COAW1383,51.9
COCB1,304
COCB1,304
COCB1,304
COCB1,304
COCB1,304
COCB1,304
COCB120,51.4
COCB120,51.4
COCB120,51.4
COCB120,51.4
COCB120,51.4
COCB120,51.4
COCB121,249
COCB121,249
COCB121,249
COCB121,249
COCB121,249
COCB121,249
COCB122,1.47
COCB122,1.47
COCB122,1.47
COCB122,1.47
COCB122,1.47
COCB122,1.47
COCB13,18.7
COCB13,18.7
COCB140,1.73
COCB140,1.73
COCB140,1.73
COCB140,1.73
COCB140,1.73
COCB140,1.73
COCB141,1.14
COCB141,1.14
COCB141,1.14
COCB141,1.14
COCB141,1.14
COCB141,1.14
COCB143,1.44
COCB143,1.44
COCB143,1.44
COCB143,1.44
COCB143,1.44
COCB143,1.44
COCB2,33.9
COCB2,33.9
COCB2,33.9
COCB2,33.9
COCB2,33.9
COCB2,33.9
COCB5,28.2
COCB5,28.2
COCB5,28.2
COCB5,28.2
COCB5,28.2
COCB5,28.2
COCB6,1130
COCB6,1130
COCB6,1130
COCB6,1130
COCB6,1130
COCB6,1130
COCV3140,0.71
COCV3185,0.081
COCV3305,52.6
COCV3309,261
COCV3309,261
COCV3310,256
COCV553,1
COCV559,22.3
COCV562,13.4
COCV568,16.3
COCV585,924
COWM0780,1.92
COWM0821,1.69
COWM0841,1.85
COWM0852,34.4
COWM0852,34.4
COWM0854,0.24
COWM0861,1.21
COWM0861,1.21
COWM0862,21.8
COWM0862,21.8
COWM0862,21.8
COWM0862,21.8
COWM0873,5.52
COWM0873,5.52
COWM0873,5.52
COWM0873,5.52
COWM0876,5.45
COWM0905,0.44
COWM0929,0.09
COWM0929,0.09
COWM0929,0.09
COWM0929,0.09
COWM0940,0.42
COWM0940,0.42
COWM0940,0.42
COWM0940,0.42
COWM0944,0.97
COWM0973,0.52
COWM0973,0.52
COWM0973,0.52
COWM0973,0.52
COWM0989,0.09
COWM1002,0.23
COWM1004,1.32
COWM1019,184
COWM1029,0.48
COWM1029,0.48
COWM1029,0.48
COWM1029,0.48
COWM1030,0.14
COWM1030,0.14
COWM1030,0.14
COWM1030,0.14
COWM1092,237
COWM1093,9.5
COWM1156,12.1
COWM1156,12.1
COWM1156,12.1
COWM1156,12.1
COWM1172,41
COWM1361,1.41
COWM1361,1.41
COWM1361,1.41
COWM1361,1.41
COWM1368,17
COWM1368,17
COWM1368,17
COWM1368,17
COWM1421,1.68
COWM1421,1.68
COWM1421,1.68
COWM1421,1.68
CTNE4307_V,29.4
CTNE4307_V,29.4
CTNE4307_V,29.4
CTNE4307_V,29.4
CTNE4333_V,129
CTNE4333_V,129
CTNE4333_V,129
CTNE4333_V,129
CTNE8862_B,3.65
CTNE8862_B,3.65
CTNE8862_B,3.65
CTNE8862_B,3.65
CTNE8863_V,2.69
CTNE8864_B,0.95
FLSE6566_V,11.9
FLSE6566_V,11.9
FLSE6566_V,11.9
FLSE6566_V,11.9
FLSE6568_VO,28.3
FLSE6606_B,29.5
FLSE6606_B,29.5
FLSE6606_B,29.5
FLSE6607_V,1.45
FLSE6607_V,1.45
FLSE6607_V,1.45
FLSE6607_V,1.45
FLSE6780_V,2.59
FLSE6780_V,2.59
FLSE6780_V,2.59
FLSE6780_V,2.59
FLSE6807_V,1.46
FLSE6807_V,1.46
FLSE6807_V,1.46
FLSE6807_V,1.46
FLSE6822_V,29.1
FLSE6822_V,29.1
FLSE6822_V,29.1
FLSE6822_V,29.1
FLSE8220_V,1.77
FLSE8220_V,1.77
FLSE8220_V,1.77
FLSE8220_V,1.77
FLSE9507_B,0.01
FLSE9507_B,0.01
FLSE9507_B,0.01
FLSE9508_B,0.05
FLSE9508_B,0.05
FLSE9508_B,0.05
FLSE9509_B,0.03
FLSE9509_B,0.03
FLSE9509_B,0.03
FLSE9521_B,1.12
FLSE9521_B,1.12
FLSE9521_B,1.12
FLSE9522_V,0.16
FLSE9522_V,0.16
FLSE9522_V,0.16
FLSE9522_V,0.16
FLSE9523_B,3.6
FLSE9523_B,3.6
FLSE9523_B,3.6
FLSE9524_B,0.25
FLSE9524_B,0.25
FLSE9524_B,0.25
FLSE9551_B,0.29
FLSE9551_B,0.29
FLSE9551_B,0.29
FLSE9551_B,0.29
FLSE9552_BO,0.01
FLSE9552_BO,0.01
FLSE9552_BO,0.01
FLSE9563_V,0.25
FLSE9563_V,0.25
FLSE9563_V,0.25
FLSE9563_V,0.25
FLSE9564_V,0.02
FLSE9564_V,0.02
FLSE9564_V,0.02
FLSE9564_V,0.02
FLSE9569_V,0.26
FLSE9569_V,0.26
FLSE9569_V,0.26
FLSE9569_V,0.26
FLSE9609_V,4.27
FLSE9609_V,4.27
FLSE9609_V,4.27
FLSE9609_V,4.27
FLSE9610_V,7.17
FLSE9613_V,3.52
FLSE9613_V,3.52
FLSE9613_V,3.52
FLSE9613_V,3.52
FLSE9617_V,7.48
FLSE9617_V,7.48
FLSE9617_V,7.48
FLSE9617_V,7.48
GASE8689_B,0.0796
GASE8689_B,0.0796
GASE8689_B,0.0796
GASE8689_B,0.0796
GASE8691_B,0.15
GASE8691_B,0.15
GASE8691_B,0.15
GASE8691_B,0.15
GASE8697_B,0.0181
GASE8697_B,0.0181
GASE8697_B,0.0181
GASE8697_B,0.0181
GASE8701_BO,0.0517
GASE8701_BO,0.0517
GASE8701_BO,0.0517
GASE8701_BO,0.0517
GASE8706_BO,0.067
GASE8706_BO,0.067
GASE8706_BO,0.067
GASE8706_BO,0.067
GASE8709_B,0.0359
GASE8709_B,0.0359
GASE8709_B,0.0359
GASE8709_B,0.0359
GASE9171_V,0.037
GASE9171_V,0.037
GASE9171_V,0.037
GASE9171_V,0.037
GASE9172_V,0.387
GASE9172_V,0.387
GASE9172_V,0.387
GASE9172_V,0.387
GASE9173_V,0.2
GASE9173_V,0.2
GASE9173_V,0.2
GASE9173_V,0.2
GASE9180_B,64.6
GASE9180_B,64.6
GASE9180_B,64.6
GASE9181_B,16.6
GASE9181_B,16.6
GASE9181_B,16.6
GASE9189_B,0.13
GASE9189_B,0.13
GASE9189_B,0.13
GASE9189_B,0.13
GASE9190_B,0.25
GASE9190_B,0.25
GASE9190_B,0.25
GASE9190_B,0.25
GASE9444_B,0.52
GASE9444_B,0.52
GASE9444_B,0.52
GASE9444_B,0.52
GASE9493_B,0.0561
GASE9493_B,0.0561
GASE9493_B,0.0561
GASE9493_B,0.0561
GASE9495_B,2.46
GASE9495_B,2.46
GASE9495_B,2.46
GASE9495_B,2.46
IAUB105,0.04
IAUB105,0.04
IAUB105,0.04
IAUB105,0.04
IAUB105,0.04
IAUB105,0.04
IAUB106,0.28
IAUB106,0.28
IAUB106,0.28
IAUB106,0.28
IAUB106,0.28
IAUB106,0.28
IAUB108,3.36
IAUB108,3.36
IAUB108,3.36
IAUB108,3.36
IAUB108,3.36
IAUB108,3.36
IAUB109,0.29
IAUB109,0.29
IAUB109,0.29
IAUB109,0.29
IAUB109,0.29
IAUB109,0.29
IAUB110,0.29
IAUB110,0.29
IAUB110,0.29
IAUB110,0.29
IAUB110,0.29
IAUB110,0.29
IAUB111,0.05
IAUB111,0.05
IAUB111,0.05
IAUB111,0.05
IAUB111,0.05
IAUB111,0.05
IAUB112,0.12
IAUB112,0.12
IAUB112,0.12
IAUB112,0.12
IAUB112,0.12
IAUB29,0.23
IAUB29,0.23
IAUB29,0.23
IAUB29,0.23
IAUB29,0.23
IAUB29,0.23
IAUB30,0.11
IAUB30,0.11
IAUB30,0.11
IAUB30,0.11
IAUB30,0.11
IAUB30,0.11
IAUB31,1.31
IAUB31,1.31
IAUB31,1.31
IAUB31,1.31
IAUB31,1.31
IAUB31,1.31
IAUV1867,225
IAUV1870,8.74
IAUV3341,3.13
IAUV3342,0.85
IAUV3343,0.77
ILNE8568_V,0.02
ILNE8568_V,0.02
ILNE8568_V,0.02
ILNE8568_V,0.02
ILNE8569_B,1.16
ILNE8569_B,1.16
ILNE8569_B,1.16
ILNE8569_B,1.16
ILNE8572_B,0.01
ILNE8572_B,0.01
ILNE8572_B,0.01
ILNE8572_B,0.01
ILNE8578_B,0.02
ILNE8578_B,0.02
ILNE8578_B,0.02
ILNE8578_B,0.02
ILNE8579_B,0.05
ILNE8579_B,0.05
ILNE8579_B,0.05
ILNE8579_B,0.05
ILUV3350,3.62
ILUV3353,2.87
ILUV3353,2.87
INNE667_V,29.479
INNE667_V,29.479
INNE667_V,29.479
INNE667_V,29.479
INNE752_B,37.346
INNE752_B,37.346
INNE752_B,37.346
INNE752_B,37.346
INNE8239_B,0.097
INNE8239_B,0.097
INNE8239_B,0.097
INNE8239_B,0.097
INNE8242_B,0.988
INNE8242_B,0.988
INNE8242_B,0.988
INNE8242_B,0.988
INNE8245_B,0.012
INNE8245_B,0.012
INNE8245_B,0.012
INNE8245_B,0.012
INNE8252_B,0.169
INNE8252_B,0.169
INNE8252_B,0.169
INNE8252_B,0.169
INNE8584_V,0.002
INNE8584_V,0.002
INNE8584_V,0.002
INNE8584_V,0.002
INNE8860_B,19.087
INNE8860_B,19.087
INNE8860_B,19.087
INNE8860_B,19.087
INNE9598_V,3.005
INNE9599_V,0.007
INNE9599_V,0.007
INNE9599_V,0.007
INNE9599_V,0.007
INNE9600_VO,0.017
INNE9602_V,298.466
INNE9603_V,81.584
INNE9603_V,81.584
INNE9603_V,81.584
INNE9603_V,81.584
INNE9604_V,223.097
INNE9604_V,223.097
INNE9604_V,223.097
INNE9604_V,223.097
INNE9606_V,0.715
INNE9606_V,0.715
INNE9606_V,0.715
INNE9606_V,0.715
INNE9607_V,0.011
INNE9607_V,0.011
INNE9607_V,0.011
INNE9607_V,0.011
INNE9608_V,0.048
KSCB102,0.75
KSCB102,0.75
KSCB102,0.75
KSCB102,0.75
KSCB102,0.75
KSCB102,0.75
KSCB103,3.72
KSCB103,3.72
KSCB103,3.72
KSCB103,3.72
KSCB103,3.72
KSCB103,3.72
KSCB104,0.23
KSCB104,0.23
KSCB104,0.23
KSCB104,0.23
KSCB104,0.23
KSCB104,0.23
KSCB16,0.34
KSCB16,0.34
KSCB16,0.34
KSCB16,0.34
KSCB16,0.34
KSCB16,0.34
KSCB17,0.06
KSCB17,0.06
KSCB17,0.06
KSCB17,0.06
KSCB17,0.06
KSCB17,0.06
KSCB18,0.09
KSCB18,0.09
KSCB18,0.09
KSCB18,0.09
KSCB18,0.09
KSCB18,0.09
KSCB20,0.86
KSCB20,0.86
KSCB20,0.86
KSCB20,0.86
KSCB20,0.86
KSCB20,0.86
KSCB21,0.39
KSCB21,0.39
KSCB21,0.39
KSCB21,0.39
KSCB21,0.39
KSCB21,0.39
KSCB22,961.45
KSCB22,961.45
KSCB22,961.45
KSCB22,961.45
KSCB22,961.45
KSCB22,961.45
KSCB23,389.17
KSCB23,389.17
KSCB23,389.17
KSCB23,389.17
KSCB23,389.17
KSCB23,389.17
KSCB25,1.51
KSCB25,1.51
KSCB25,1.51
KSCB25,1.51
KSCB25,1.51
KSCB25,1.51
KSCB26,2002.44
KSCB26,2002.44
KSCB26,2002.44
KSCB26,2002.44
KSCB26,2002.44
KSCB26,2002.44
KSCB27,1969.52
KSCB27,1969.52
KSCB27,1969.52
KSCB27,1969.52
KSCB27,1969.52
KSCB27,1969.52
KSCB28,6.75
KSCB28,6.75
KSCB28,6.75
KSCB28,6.75
KSCB28,6.75
KSCB28,6.75
KSCV2959,0.47
KSCV3228,0.46
KSCV3231,0.3
KSCV3244,0.49
KSCV3245,0.29
KSCV3246,0.33
KSCV3247,0.36
KSCV3248,0.7
KSCV3250,0.06
KSCV730,1.62
